-aktig	-âtre
gåsmarsch	monôme
gåta	énigme
gåtfull	énigmatique
gåva	don
göda	engraisser
gödsel	fumier
gödselstack	fumière
gök	coucou
gökur	coucou
gömd	caché
gömma	cacher
gömställe	cachette
göra	rendre
göra en höna av en fjäder	la montagne a accouché d’une souris
göra ont	faire mal
göra sig av med	se débarrasser de
göra susen	faire l'affaire
gördel	gaine
gös	sandre
göteborgare	Gothembourgeois
ha	avoir
ha en bulle i ugnen	avoir un polichinelle dans le tiroir
ha en gås oplockad	avoir maille à partir
ha en skruv lös	avoir un grain
ha is i magen	garder son sang-froid
ha ont	avoir mal
ha roligt	s’amuser
habibi	habibi
habituell	habituel
hacka	houe
hackathon	hackathon
hackspett	pic
hadeikum	Hadéen
hadron	hadron
hafnium	hafnium
hage	pâtis
hagel	grêle
hagelgevär	fusil de chasse
hagelkorn	grêlon
hagiografi	hagiographie
haha	haha
haiku	haïku
haitier	Haïtien
haitisk	haïtien
haitisk kreol	créole haïtien
haj	requin
haja	piger
hajpa	promouvoir
hak	troquet
haka	menton
hakka	hakka
hakkors	croix gammée
haklapp	bavoir
hakparentes	crochet
halka	verglas
halleluja	alléluia
hallick	maquereau
hallon	framboisier
hallucination	hallucination
hallå	allô
halm	paille
halofyt	halophyte
hals	cou
halsband	collier
halsbandsflugsnappare	gobemouche à collier
halsbandsparakit	perruche à collier
halsbrytande	casse-cou
halsduk	écharpe
halshugga	décapiter
halshuggning	décapitation
halskota	vertèbre cervicale
halskrås	fraise
halsmandel	amygdale
halstra	griller
halt	taux
halta	boiter
halv	demi
halva	moitié
halvbror	demi-frère
halvdag	demi-journée
halvdussin	demi-douzaine
halvledare	semi-conducteur
halvliter	demi-litre
halvljus	feu de croisement
halvmåne	dernier quartier
halvpension	demi-pension
halvsyster	demi-sœur
halvtimme	demi-heure
halvton	demi-ton
halvvägs	à mi-chemin
halvö	péninsule
hamburgare	Hambourgeoise
hammare	marteau
hammaren och skäran	faucille et marteau
hammarhaj	requin marteau lisse
hamn	port
hamnarbetare	docker
hamnbassäng	bassin portuaire
hamnstad	ville portuaire
hamra	marteler
hamster	hamster
han	il
hand	main
handbagage	bagage à main
handbok	manuel
handboll	handball
handbollsspelare	handballeur
handbroms	frein à main
handduk	serviette
handel	commerce
handelsbalans	balance commerciale
handelsfartyg	navire de commerce
handelsflotta	flotte marchande
handelskrig	guerre commerciale
handelsstad	ville marchande
handflata	paume
handfull	poignée
handgranat	grenade à main
handla	agir
handlande	marchand
handlare	commerçant
handled	poignet
handledare	formateur
handling	document
handpenning	arrhes
handrörelse	geste de la main
handske	gant
handskfack	boîte à gants
handskrift	manuscrit
handskriven	manuscrit
handstil	écriture
handsåg	scie à main
handtag	manche
handväska	sac à main
hane	mâle
hanfot	araignée
hangar	hangar
hangarfartyg	porte-avions
hangul	hangeul
hankatt	matou
hanrej	cocu
hans	son
hansa	Hanse
hanseatisk	hanséatique
hantel	haltère
hantera	manier
hantlangare	manoillon
hantverkare	artisan
hanzi	caractère chinois
haploid	haploïde
haploid	haploïde
happy hour	bonne heure
harakiri	hara-kiri
hare	lièvre
harem	harem
haricots verts	haricot vert
harkla	tousser
harkrank	tipule
harmoni	harmonie
harmonisera	harmoniser
harpa	harpe
harpest	tularémie
harpun	harpon
harpunera	harponner
harpunerad	harponné
harpunerare	harponneur
harpya	harpie
harr	ombre
harris	genêt à balais
harunge	lièvreteau
hasardartad	hasardeux
hasch	haschich
hashtag	hashtag
hassel	noisetier
hasselmus	muscardin
hasselnöt	noisette
hassium	hassium
hastig	hâtif
hastighet	vitesse
hastighetsbegränsning	limitation de vitesse
hastighetsmätare	compteur de vitesse
hastigt	vite
hat	haine
hata	haïr
hatare	haineuse
hatbrott	crime haineux
hatt	chapeau
hausa	haoussa
hav	mer
havandeskap	grossesse
havre	avoine
havregryn	flocon d’avoine
havregrynsgröt	porridge
havremjöl	farine d'avoine
havsfågel	oiseau de mer
havskatt	loup de l'Atlantique
havssula	fou de Bassan
havsutter	loutre de mer
havsvidunder	monstre marin
havsängel	squatine
havsörn	pygargue à queue blanche
hawaiiansk	hawaïen
hawaiisk	hawaïen
hawaiiska	hawaïen
heavy metal	heavy metal
hebefili	hébéphilie
hebreisk	hébreu
hebreiska	hébreu
heder	honneur
hederlig	honnête
hedersam	honorable
hedersgäst	invité d'honneur
hedersmord	crime d’honneur
hederstitel	titre honorifique
hedervärd	honorable
hedonism	hédonisme
hedonistisk	hédoniste
hedra	honorer
hegemoni	hégémonie
hegemonisk	hégémonique
hej	salut
hej då	salut
hejda	se retenir
hektar	hectare
hektisk	chargé
hektogram	hectogramme
hektoliter	hectolitre
hektowatt	hectowatt
hel	entier
hel funktion	fonction entière
hela havet stormar	chaises musicales
helg	week-end
helgdag	jour chomé
helgedom	sanctuaire
helgerån	sacrilège
helgon	saint
helgonförklara	canoniser
helhet	ensemble
helig	sacré
helikopter	hélicoptère
heliocentrisk	héliocentrique
heliopaus	héliopause
heliosfär	héliosphère
helioskop	hélioscope
helium	hélium
hellenistisk	hellénistique
hellensk	hellène
heller	non plus
helnot	ronde
helot	ilote
helpension	pension complète
helt	complètement
helt och hållet	bel et bien
heltal	entier relatif
heltäckningsmatta	moquette
helvete	sacrebleu
helvete	enfer
helvetisk	helvète
hematofobi	hématophobie
hematuri	hématurie
hembiträde	employée de maison
hemerytrin	hémérythrine
hemester	restances
hemgift	dot
hemgjord	fait maison
heminredning	mobilier
hemisfär	hémisphère
hemlig	secret
hemlighet	secret
hemlighetsmakeri	cachotterie
hemlängtan	mal du pays
hemlös	SDF
hemma	à la maison
hemmafru	femme au foyer
hemmagjord	fait maison
hemmaman	homme au foyer
hemocyanin	hémocyanine
hemofili	hémophilie
hemofobi	hématophobie
hemoglobin	hémoglobine
hemolytisk	hémolytique
hemostas	hémostase
hemsida	page d’accueil
hemsk	terrible
hen	iel
hendekagon	hendécagone
henne	la
hennes	sa
henoteism	hénothéisme
hepatisk	hépatique
hepatit	hépatite
heptagon	heptagone
heraldik	héraldique
heraldisk	héraldique
hereditet	hérédité
hereditär	héréditaire
herero	héréro
heresi	hérésie
heretisk	hérétique
hermafrodit	hermaphrodite
hermelin	hermine
hermetisk	hermétique
heroin	héroïne
heroism	héroïsme
herpetologi	herpétologie
herpetologisk	herpétologique
herr	monsieur
herre	monsieur
herregud	nom de Dieu
herrtoalett	toilettes pour hommes
hertig	duc
hertigdöme	duché
hertiginna	duchesse
hertz	hertz
hes	rauque
heshet	raucité
hesitera	hésiter
hessian	matrice hessienne
het	chaud
heta	appeler
heterarki	hétérarchie
hetero	hétérosexuel
heterogen	hétérogène
heterologisk	hétérologique
heterosexualitet	hétérosexualité
heterosexuell	hétérosexuel
heterozygot	hétérozygote
hetta	chaleur
hettitiska	hittite
hetär	hétaïre
hexadecimal	hexadécimal
hexadecimal	hexadécimal
hexadekan	hexadécane
hexaeder	hexaèdre
hexaflexagon	hexaflexagone
hexagon	hexagone
hexametylentetramin	hexamine
hexan	hexane
hexod	hexode
hibernera	hiberner
hicka	hoquet
hicka	hoqueter
hierarki	hiérarchie
hierarkisera	hiérarchiser
hierarkisk	hiérarchique
hieroglyf	hiéroglyphe
himlakropp	astre
himmel	ciel
himmelsekvator	équateur céleste
himmelssfär	sphère céleste
hind	biche
hinder	obstacle
hindi	hindi
hindra	empêcher
hindu	Hindou
hinduism	hindouisme
hingst	étalon
hink	seau
hinka	ingurgiter
hinna	membrane
hinna	avoir le temps
hiphop	hip hop
hipp	branché
hippodrom	hippodrome
hippolog	hippologue
hippologi	hippologie
hipster	hipster
hirsutism	hirsutisme
hiss	ascenseur
histamin	histamine
histogram	histogramme
histologi	histologie
histon	histone
historia	histoire
historicism	historicisme
historielärare	professeur d'histoire
historiett	anecdote
historik	historique
historiker	historien
historisk	historique
historiskt	historiquement
histrionisk	histrionique
hit	par ici
hitom	de ce côté de
hitta	trouver
hittills	jusqu'alors
hiv	VIH
hivpositiv	séropositif
hivvirus	virus du sida
hjalt	poignée
hjord	troupeau
hjort	cerf
hjortron	plaquebière
hjul	roue
hjula	faire la roue
hjulning	roue
hjulspår	ornière
hjulångare	bateau à roues à aubes
hjälm	casque
hjälp	aide
hjälpa	aider
hjälplöshet	impuissance
hjälpsam	serviable
hjälpverb	auxiliaire
hjälte	héros
hjältemod	héroïsme
hjältemodig	héroïque
hjältinna	héroïne
hjärna	cerveau
hjärnblödning	hémorragie cérébrale
hjärninflammation	encéphalite
hjärnskakning	commotion cérébrale
hjärntvätt	lavage de cerveau
hjärta	cœur
hjärter	cœur
hjärtfrekvens	fréquence cardiaque
hjärtinfarkt	crise cardiaque
hjärtkammare	ventricule
hjärtlig	cordial
hjärtlighet	cordialité
hjärtmuskelsjukdom	cardiomyopathie
hoa	hululer
hobby	passe-temps
hockeyfrilla	nuque longue
hockeyspelare	hockeyeur
holism	holisme
hollandaisesås	sauce hollandaise
holländsk	hollandais
holländska	hollandais
holme	îlot
holmium	holmium
holomorf	holomorphe
holonym	holonyme
holonymi	holonymie
homeomorfi	homéomorphie
homeopati	homéopathie
homiletik	homilétique
homofob	homophobe
homofob	homophobe
homofobi	homophobie
homofon	homophone
homogen	homogène
homogenisering	homogénéisation
homologera	homologuer
homomorfi	homomorphie
homomorfism	homomorphisme
homonymi	homonymie
homosexualitet	homosexualité
homosexuell	homosexuel
homoäktenskap	mariage homosexuel
hon	elle
hona	femelle
honduran	Hondurien
honom	le
honung	miel
honungsbär	quenettier
honungsdagg	miellat
honungsgrävling	ratel
hopfällbar cykel	vélo pliable
hoplofobi	hoplophobie
hopp	saut
hoppa	sauter
hoppa i säng	aller se coucher
hoppare	sauteur
hoppas	espérer
hoppborg	jeu gonflable
hopperska	sauteuse
hoppla	hue
hopplös	désespéré
hopplöshet	désespoir
hopprep	corde à sauter
hora	putain
horisont	horizon
horisontal	horizontal
horisontell	horizontal
hormon	hormone
horn	corne
hornuggla	hibou moyen-duc
horoskop	horoscope
hortikultur	horticulture
hos	chez
hosianna	hosanna
hospodar	hospodar
hosta	toux
hosta	tousser
hostia	hostie
hostning	toux
hota	menacer
hotell	hôtel
hotellnatt	nuitée
hov	sabot
hovskägg	fanon
hryvnja	hryvnia
hud	peau
hugga	mordre
hugget som stucket	bonnet blanc, blanc bonnet
huggorm	vipère
huggsexa	souper qu’on prend d'assaut
hugskott	fantaisie
huka	s'accroupir
huld	propice
huldhet	bienveillance
hulka	sangloter
humaniora	lettres
humanisera	humaniser
humanism	humanisme
humanist	humaniste
humanistisk	humaniste
humanitär	humanitaire
humanoid	humanoïde
humbug	bluffeur
humla	bourdon
humle	houblon
hummer	homard
hummus	houmous
humor	humour
humoresk	humoresque
humoristisk	humoristique
humus	humus
humör	humeur
hund	chien
hundkoja	niche
hundkäx	anthrisque sauvage
hundkött	viande de chien
hundra	cent
hundradel	centième
hundrahörning	hectogone
hundras	race de chien
hundvalp	chiot
hunger	faim
hungersnöd	famine
hungerstrejk	grève de la faim
hungrig	affamé
hur	comment
hurra	hourra
hurring	torgnole
hurtig	vif
huru	comment
huruvida	si
hus	maison
husapotek	pharmacie de ménage
husar	hussard
husarrest	assignation à domicile
husbil	camping-car
husbåt	bateau-maison
husdjur	animal domestique
husdörr	porte de maison
husgeråd	ustensile
hushumla	bourdon des arbres
hushåll	foyer
hushålla	ménager
hushållning	économie domestique
hushållsapparat	électroménager
huskatt	chat domestique
husmus	souris domestique
husockupation	squat
husrannsakan	perquisition
hussvala	hirondelle de fenêtre
hussyrsa	grillon domestique
hustru	femme
huttra	grelotter
huva	capuche
huvud	tête
huvudbok	grand livre
huvudbry	casse-tête
huvuddiagonal	diagonale principale
huvuddrag	trait principal
huvudgata	rue principale
huvudingång	entrée principale
huvudlös	acéphale
huvudorsak	cause première
huvudperson	protagoniste
huvudroll	rôle principal
huvudrätt	plat principal
huvudsaklig	principal
huvudsats	phrase principale
huvudsida	accueil
huvudstad	capitale
huvudvärk	mal de tête
hy	teint
hyacint	jacinthe
hycklare	hypocrite
hyckleri	hypocrisie
hydda	hutte
hydraulik	hydraulique
hydraulisk	hydraulique
hydrazin	diamine
hydrofob	hydrophobe
hydrologi	hydrologie
hydrolys	hydrolyse
hydronym	hydronyme
hydroplan	hydravion
hydroxylgrupp	groupement hydroxyle
hyena	hyène
hygglig	convenable
hygien	hygiène
hygienisk	hygiénique
hygroskopisk	hygroscopique
hylla	étagère
hylla	louer
hyllning	hommage
hylsa	douille
hymn	hymne
hynda	chienne
hyoscyamin	hyoscyamine
hyperbel	hyperbole
hyperbol	hyperbole
hyperkalemi	hyperkaliémie
hyperkolesterolemi	hypercholestérolémie
hyperkorrektion	hypercorrection
hyperlänk	hyperlien
hyperonym	hyperonyme
hyperopi	hyperopie
hyperpolarisera	hyperpolariser
hypertext	hypertexte
hypertoni	hypertension
hyperventilation	hyperventilation
hyperventilera	hyperventiler
hypnagog	hypnagogique
hypnos	hypnose
hypnotisera	hypnotiser
hypnotisör	hypnotiseur
hypofys	hypophyse
hypokalcemi	hypocalcémie
hypokalemi	hypokaliémie
hypokondrisk	hypocondriaque
hyponym	hyponyme
hypotek	hypothèque
hypotenusa	hypoténuse
hypotermi	hypothermie
hypotes	hypothèse
hypotetisk	hypothétique
hyra	loyer
hyra	louer
hyra ut	louer
hyrbil	voiture de location
hyresgäst	locataire
hyresvärd	propriétaire
hysteri	hystérie
hysterisk	hystérique
hyvel	rabot
hyvelbänk	établi
hyvla	raboter
häck	haie
häcka	nicher
häckla	séran
häcklöpning	course de haies
häcksparv	bruant zizi
häda	blasphémer
hädanefter	désormais
hädangången	décédé
häfta	agrafer
häftapparat	agrafeuse
häftig	super
häftigt	violemment
häftklammerborttagare	dégrafeuse
häger	héron
hägg	merisier à grappes
hägna	enclore
hägring	mirage
häkte	maison d’arrêt
häl	talon
hälft	moitié
hälla	verser
hällristning	pétroglyphe
hälsa	santé
hälsa	saluer
hälsena	tendon d'Achille
hälsning	salut
hälsovård	système de santé
hämma	empêcher
hämnas	venger
hämnd	vengeance
hämndporr	pornovengeance
hämpling	linotte mélodieuse
hämta	chercher
hända	arriver
händelse	événement
händelsehorisont	horizon des événements
hänförelse	enthousiasme
hänga	pendre
hängbro	pont suspendu
hänge	chaton
hängivenhet	dévouement
hänglås	cadenas
hängmatta	hamac
hängning	pendaison
hängsle	bretelle
hänryckning	ravissement
hänsyn	considération
hänvisa	citer
häpen	étonné
häpnad	stupéfaction
häpnadsväckande	épatant
här	ici
här	armée
här ligger en hund begraven	y avoir anguille sous roche
härbärge	asile
härbärgera	héberger
härdning	trempe
härfågel	huppe fasciée
härifrån	à partir d'ici
härkomst	origine
härleda	déduire
härlig	charmant
härma	imiter
härmsångare	hypolaïs ictérine
häromdagen	l'autre jour
härskare	maître
härsken	rance
härstamning	origine
häst	cheval
hästkraft	cheval-vapeur
hästkött	viande de cheval
hästpolo	polocrosse
hästsko	fer à cheval
hästsvans	queue de cheval
hätsk	haineux
hävd	usucapion
hävda	affirmer
hävda sig	s'affirmer
häxa	sorcière
häxring	rond de sorcière
håkäring	requin du Groenland
hål	trou
hålig	troué
hålkort	carte perforée
håll	direction
håll käften	tais-toi
hålla	tenir
hålla andan	retenir son souffle
hålla ett öga på	garder un œil sur
hålla i	continuer
hålla käft	fermer sa gueule
hålla med	être d'accord
hålla på	supporter
hålla på att	être sur le point de
hålla på med	fabriquer
hålla sig i skinnet	garder son calme
hålla till	fréquenter
hålla tummarna	croiser les doigts
hålla tyst	se taire
hålla upp	faire une pause
hållbar	solide
hållplats	arrêt
hålslag	perforeuse
hålslev	écumoire
hålväg	chemin creux
håna	moquer
hångla	peloter
hår	cheveux
hårborste	brosse à cheveux
hård	dur
hårddisk	disque dur
hårdkokt	insensible
hårdmetall	carbure
hårdnackad	obstiné
hårdra	tiré par les cheveux
hårdrock	hard rock
hårfön	sèche-cheveux
hårförlängning	extensions capillaires
hårginst	genêt poilu
hårig	poilu
hårnål	épingle à cheveux
hårstjärna	comatule
hårstrå	poil
hårtork	sèche-cheveux
håv	épuisette
hö	foin
höft	hanche
hög	haut
hög	tas
högaffel	fourche
högakta	estimer
höger	droit
höger	droite
högerextrem	extrême-droitier
högerhänt	droitier
högerhänthet	dextralité
högerregel	priorité à droite
högfärd	orgueil
högfärdig	hautain
högklackad	à talon haut
högkvarter	quartier général
högljudd	fort
högläsning	lecture
högmod	orgueil
högmodig	orgueilleux
högmosse	haute tourbière
högröd	rubicond
